"Displacements:0","Displacements:1","Stress/Strain:0","Stress/Strain:1","Stress/Strain:2","Stress/Strain:3","Stress/Strain:4","Stress/Strain:5","Stress/Strain:6","Stress/Strain:7","Stress/Strain:8","Stress/Strain:9","Stress/Strain:10","Stress/Strain:11","Stress/Strain:12","Principal Stress:0","Principal Stress:1","Principal Stress:2","Principal Stress:3","Principal Stress:4","Principal Stress:5","Principal Stress:6","nodes:0","nodes:1","nodes:2"
0.026136,0.023894,0.0099693,0.00090963,0.0032637,0.0023851,0,0,0.087173,-0.030603,0,0.062013,0,0,0,0.010561,0.00031811,0.0032637,13.888,0.0047142,0.0091336,2.5852e-08,0.34,0.26,0
0.027887,0.025131,0.010181,0.0011691,0.003405,0.0023303,0,0,0.088086,-0.029067,0,0.060587,0,0,0,0.010752,0.00059835,0.003405,13.676,0.0049183,0.0090819,2.6445e-08,0.36,0.26,0
0.029659,0.026274,0.010478,0.0015645,0.0036129,0.002203,0,0,0.089251,-0.026629,0,0.057279,0,0,0,0.011001,0.0010421,0.0036129,13.154,0.0052186,0.0089565,2.6948e-08,0.38,0.26,0
0.031457,0.027257,0.011271,0.0019207,0.0039575,0.0022138,0,0,0.081639,-0.02129,0,0.049434,0,0,0,0.011782,0.0014101,0.0039575,12.818,0.0057164,0.0093722,4.0568e-08,0.4,0.26,0
0.032993,0.028012,0.011668,0.0016545,0.0039967,0.0022063,0,0,0.055957,-0.013322,0,0.033483,0,0,0,0.012158,0.0011645,0.0039967,11.839,0.005773,0.0099073,5.7629e-08,0.42,0.26,0
0.033855,0.028633,0.010635,0.00067554,0.0033931,0.0019203,0,0,0.02713,-0.0074801,0,0.015433,0,0,0,0.011017,0.00029377,0.0033931,10.064,0.0049012,0.0095723,4.868e-08,0.44,0.26,0
0.03419,0.029288,0.0098942,-0.00025189,0.0028927,0.0019146,0,0,0.012947,-0.005261,0,0.0068596,0,0,0,0.010255,-0.00061251,0.0028927,10.03,0.0041783,0.0096101,3.3379e-08,0.46,0.26,0
0.034391,0.02999,0.010015,-0.00066737,0.0028043,0.0021358,0,0,0.0098054,-0.0046808,0,0.0057823,0,0,0,0.010432,-0.001084,0.0028043,10.861,0.0040507,0.010147,2.9925e-08,0.48,0.26,0
0.03458,0.030689,0.0099127,-0.00062843,0.0027853,0.0021359,0,0,0.0092656,-0.0044378,0,0.0055534,0,0,0,0.010333,-0.0010486,0.0027853,11.011,0.0040232,0.01003,2.7602e-08,0.5,0.26,0
0.034761,0.031381,0.0096161,-0.00027031,0.0028037,0.0020757,0,0,0.008856,-0.0039963,0,0.0053967,0,0,0,0.010038,-0.00069212,0.0028037,11.392,0.0040498,0.0094793,2.458e-08,0.52,0.26,0
0.034934,0.032068,0.009362,0.00015549,0.0028552,0.0021097,0,0,0.0084588,-0.0035097,0,0.0054852,0,0,0,0.009826,-0.0003085,0.0028552,12.323,0.0041242,0.0089813,2.2259e-08,0.54,0.26,0
0.035099,0.032758,0.0091652,0.00043331,0.0028795,0.0022163,0,0,0.0081713,-0.0031801,0,0.0057625,0,0,0,0.0096978,-9.9304e-05,0.0028795,13.461,0.0041593,0.0086992,2.0939e-08,0.56,0.26,0
